train,time_arrival,time_departure,direction,weight(tons),headway(mins),delay(mins)
0367,2018-01-04 20:16:00,2018-01-05 02:36:00,B,4990,15,380
0368,2018-01-04 20:31:00,2018-01-05 03:04:00,A,4789,20,393
0369,2018-01-04 20:51:00,2018-01-05 03:32:00,B,6486,13,401
0370,2018-01-04 21:04:00,2018-01-05 03:35:00,B,4868,12,391
0371,2018-01-04 21:35:00,2018-01-05 04:03:00,A,5672,20,388
0372,2018-01-04 21:55:00,2018-01-05 04:06:00,A,2966,17,371
0373,2018-01-04 22:12:00,2018-01-05 04:34:00,B,3860,16,382
0374,2018-01-04 22:28:00,2018-01-05 04:37:00,B,5116,18,369
0375,2018-01-04 22:46:00,2018-01-05 05:05:00,A,2372,11,379
0376,2018-01-04 22:57:00,2018-01-05 05:08:00,A,5383,16,371
0377,2018-01-04 23:01:00,2018-01-05 05:36:00,B,3547,14,395
